t r[0] r[1] r[2] v[0] v[1] v[2] a[0] a[1] a[2]
0.0 1.0 0.0 1.0 0.0 4.4294469180700204 0.0 0.0 0.0 0.0
0.01 0.9990191603830106 0.044279986310120735 1.0 -0.196135848893547 4.425102341051426 0.0 0.0 0.0 0.0
0.02 0.9960785656247511 0.08847310949061604 1.0 -0.3918869421652807 4.41207713266216 0.0 0.0 0.0 0.0
0.03 0.9911839842288941 0.1324926768094581 1.0 -0.5868692789605015 4.390396844183039 0.0 0.0 0.0 0.0
0.04 0.984345017794123 0.17625233599554874 1.0 -0.7807003664781251 4.360104005385757 0.0 0.0 0.0 0.0
0.05 0.9755750821788747 0.2196662446341767 1.0 -0.9729999702988691 4.321258041103123 0.0 0.0 0.0 0.0
0.060000000000000005 0.964891381183729 0.2626492385622997 1.0 -1.1633908602832161 4.273935154656594 0.0 0.0 0.0 0.0
0.07 0.9523148728030701 0.3051169989333147 1.0 -1.3514995505759444 4.218228178369802 0.0 0.0 0.0 0.0
0.08 0.9378702281122244 0.34698621762358833 1.0 -1.5369570322655768 4.15424639146132 0.0 0.0 0.0 0.0
0.09 0.921585782870724 0.38817476065627293 1.0 -1.7193994972614959 4.0821153056738755 0.0 0.0 0.0 0.0
0.09999999999999999 0.903493481936636 0.4286018293218235 1.0 -1.898469051968724 4.001976419060584 0.0 0.0 0.0 0.0
0.10999999999999999 0.8836288166009979 0.4681881186791481 1.0 -2.0738144193603536 3.9139869384111496 0.0 0.0 0.0 0.0
0.11999999999999998 0.8620307549652884 0.5068559731264642 1.0 -2.2450916280703983 3.8183194708625696 0.0 0.0 0.0 0.0
0.12999999999999998 0.8387416654985124 0.5445295387366802 1.0 -2.411964687155278 3.7151616852993015 0.0 0.0 0.0 0.0
0.13999999999999999 0.8138072339238551 0.5811349120584683 1.0 -2.5741062452002748 3.604715944207108 0.0 0.0 0.0 0.0
0.15 0.7872763735979479 0.6166002850911313 1.0 -2.7311982324780075 3.487198906702772 0.0 0.0 0.0 0.0
0.16 0.7592011295585515 0.6508560861488656 1.0 -2.8829324848992086 3.362841103518404 0.0 0.0 0.0 0.0
0.17 0.7296365764288868 0.683835116338093 1.0 -3.02901134853182 3.2318864847740936 0.0 0.0 0.0 0.0
0.18000000000000002 0.6986407103788903 0.7154726813801345 1.0 -3.1691482635025308 3.0945919414260254 0.0 0.0 0.0 0.0
0.19000000000000003 0.6662743353553313 0.7457067185206336 1.0 -3.303068326135329 2.9512268013288234 0.0 0.0 0.0 0.0
0.20000000000000004 0.6326009438039728 0.7744779182767724 1.0 -3.4305088282243346 2.8020723009006936 0.0 0.0 0.0 0.0
0.21000000000000005 0.5976865921177587 0.8017298407834524 1.0 -3.5512197723830314 2.6474210334277792 0.0 0.0 0.0 0.0
0.22000000000000006 0.5615997710553596 0.8274090265102065 1.0 -3.6649643624589503 2.4875763750899917 0.0 0.0 0.0 0.0
0.23000000000000007 0.5244112713842742 0.851465101131649 1.0 -3.771519468051761 2.3228518898342547 0.0 0.0 0.0 0.0
0.24000000000000007 0.4861940450120499 0.8738508743457437 1.0 -3.870676062223547 2.1535707142626213 0.0 0.0 0.0 0.0
0.25000000000000006 0.44702306187804125 0.8945224324460403 1.0 -3.9622396315426114 1.980064923741914 0.0 0.0 0.0 0.0
0.26000000000000006 0.40697516288643687 0.9134392244662796 1.0 -4.046030557656431 1.8026748809783724 0.0 0.0 0.0 0.0
0.2700000000000001 0.36612890916905305 0.9305641417283815 1.0 -4.121884469645253 1.6217485683352004 0.0 0.0 0.0 0.0
0.2800000000000001 0.3245644279735931 0.9458635906377697 1.0 -4.189652566465113 1.437640905202791 0.0 0.0 0.0 0.0
0.2900000000000001 0.28236325547968905 0.9593075585832271 1.0 -4.249201908847751 1.2507130517607266 0.0 0.0 0.0 0.0
0.3000000000000001 0.23960817685107194 0.9708696728120131 1.0 -4.300415680084821 1.061331700497357 0.0 0.0 0.0 0.0
0.3100000000000001 0.19638306383763457 0.980527252164744 1.0 -4.343193415184791 0.8698683568767586 0.0 0.0 0.0 0.0
0.3200000000000001 0.15277271024596176 0.9882613515685531 1.0 -4.37745119795304 0.6766986105641796 0.0 0.0 0.0 0.0
0.3300000000000001 0.10886266560108084 0.9940567992012465 1.0 -4.40312182560851 0.4822013986395947 0.0 0.0 0.0 0.0
0.34000000000000014 0.06473906732573467 0.9979022262535514 1.0 -4.4201549406140055 0.286758262244703 0.0 0.0 0.0 0.0
0.35000000000000014 0.020488471766388485 0.9997900892310735 1.0 -4.428517129461529 0.0907525981215941 0.0 0.0 0.0 0.0
0.36000000000000015 -0.023802315602557793 0.9997166847522133 1.0 -4.428191988218869 -0.10543109348867957 0.0 0.0 0.0 0.0
0.37000000000000016 -0.06804641046326593 0.9976821568130126 1.0 -4.41918015470885 -0.30140796311224083 0.0 0.0 0.0 0.0
0.38000000000000017 -0.11215702009362148 0.9936904965046808 1.0 -4.401499307258127 -0.49679356699360905 0.0 0.0 0.0 0.0
0.3900000000000002 -0.15604761362671443 0.9877495341843536 1.0 -4.375184130017984 -0.6912046212510315 0.0 0.0 0.0 0.0
0.4000000000000002 -0.19963209179664393 0.979870924114445 1.0 -4.340286244925151 -0.8842597537565159 0.0 0.0 0.0 0.0
0.4100000000000002 -0.24282495583766023 0.9700701216007214 1.0 -4.296874110436125 -1.0755802522656128 0.0 0.0 0.0 0.0
0.4200000000000002 -0.285541475205318 0.9583663526739504 1.0 -4.245032887233636 -1.2647908073293628 0.0 0.0 0.0 0.0
0.4300000000000002 -0.32769785379062577 0.9447825763745951 1.0 -4.184864271168704 -1.4515202485310474 0.0 0.0 0.0 0.0
0.4400000000000002 -0.36921139430113314 0.9293454397145408 1.0 -4.116486293766001 -1.6354022726034894 0.0 0.0 0.0 0.0
0.45000000000000023 -0.41000066048649164 0.9120852254042057 1.0 -4.040033090683859 -1.8160761619985633 0.0 0.0 0.0 0.0
0.46000000000000024 -0.4499856368902562 0.8930357924475762 1.0 -3.9556546385831353 -1.9931874924993207 0.0 0.0 0.0 0.0
0.47000000000000025 -0.48908788581454465 0.8722345097217026 1.0 -3.863516460921111 -2.166388828486617 0.0 0.0 0.0 0.0
0.48000000000000026 -0.5272307011896402 0.8497221826709482 1.0 -3.7637993032475627 -2.3353404044963475 0.0 0.0 0.0 0.0
0.49000000000000027 -0.5643392590466959 0.8255429732597972 1.0 -3.65669877863997 -2.499710791730306 0.0 0.0 0.0 0.0
0.5000000000000002 -0.6003407642983608 0.7997443133412454 1.0 -3.542424983973404 -2.659177548213175 0.0 0.0 0.0 0.0
0.5100000000000002 -0.6351645935393906 0.7723768116107194 1.0 -3.4212020877778495 -2.8134278513202506 0.0 0.0 0.0 0.0
0.5200000000000002 -0.6687424335871157 0.74349415432805 1.0 -3.293267890491457 -2.962159111435095 0.0 0.0 0.0 0.0
0.5300000000000002 -0.7010084154899925 0.7131530000022506 1.0 -3.1588733579723582 -3.1050795655332957 0.0 0.0 0.0 0.0
0.5400000000000003 -0.7318992437413583 0.6814128682456971 1.0 -3.018282129184156 -3.2419088495279382 0.0 0.0 0.0 0.0
0.5500000000000003 -0.7613543204449118 0.6483360230157402 1.0 -2.8717699990208443 -3.372378548254009 0.0 0.0 0.0 0.0
0.5600000000000003 -0.7893158641883486 0.6139873504727931 1.0 -2.7196243772856907 -3.4962327220128557 0.0 0.0 0.0 0.0
0.5700000000000003 -0.8157290233919572 0.5784342316944977 1.0 -2.562143724885393 -3.6132284086437725 0.0 0.0 0.0 0.0
0.5800000000000003 -0.8405419839098239 0.5417464104956647 1.0 -2.3996369683455185 -3.7231361001378303 0.0 0.0 0.0 0.0
0.5900000000000003 -0.8637060706725674 0.50399585661328 1.0 -2.2324228937957526 -3.825740192858971 0.0 0.0 0.0 0.0
0.6000000000000003 -0.8851758431722113 0.4652566245249656 1.0 -2.0608295216137695 -3.920839410489183 0.0 0.0 0.0 0.0
